FallingTime(t/s),BalanceVoltage(U/V)
59.69,107.0
34.68,255.0
40.96,209.0
34.9,241.0
48.43,149.0
34.2,251.0
39.71,219.0
33.2,260.5
41.06,208.0
38.36,215.0
33.45,275.0
74.86,78.17
36.83,232.0
28.9,307.8
30.83,289.0
34.0,251.0
38.92,219.0
37.495,226.67
43.2,194.0
45.17,159.8
22.7,231.0
20.52,282.0
19.59,306.0
19.0,294.0
24.94,237.17
21.6,250.0
24.59,204.0
24.82,205.0
25.9,200.0
25.12,224.0
28.97,160.0
23.28,237.5
24.6,205.8
32.23,151.0
20.89,280.67
29.05,158.17
22.83,242.0
21.49,255.67
24.55,217.0
23.78,225.83
21.81,170.5
16.91,256.5
23.7,150.0
22.54,160.0
25.2,130.0
17.74,250.5
23.62,146.67
20.3,198.0
17.6,257.0
18.62,217.0
17.2,251.8
23.2,171.0
18.98,221.0
21.98,185.0
20.91,188.8
18.82,221.0
22.89,160.67
20.22,204.5
17.37,247.5
28.69,120.0
15.39,222.83
21.3,136.0
20.67,157.33
12.44,305.17
12.82,280.0
19.24,164.0
14.98,221.7
18.67,165.0
26.53,101.0
18.35,175.0
16.9,224.0
29.35,90.5
27.5,89.67
17.92,172.2
15.67,227.0
19.63,171.0
20.62,146.0
40.0,50.0
15.99,230.0
15.68,210.83
12.1,228.7
16.03,157.0
17.11,152.0
16.57,163.0
12.93,235.0
37.62,46.0
15.54,192.0
19.61,119.67
24.55,89.0
17.16,158.3
15.41,180.5
27.612,73.167
17.2,168.0
21.27,106.5
22.39,97.67
29.29,66.3
15.58,169.5
16.24,169.0
23.68,86.0
12.43,243.0
